,,Total Vote,K,B,R,C,T,Margin,Margin (%),,Kasich,Bush,Rubio,Cruz,Trump,Other,Kasich,Bush,Rubio,Cruz,Trump,Carson,Fiorina,Christie,Paul,Uncommtted,Write-ins,Other,Huckabee,Jindal,Santorum,Graham,Pataki,Gilmore,,C,F,C,Carson,Fiorina,Christie,,,,CD,,ST,CTY,FIPS,,LSAD_TRANS,,,,,Comley,Cook,Cullison,Drozd,Dyas,Huey,Iwachiw,Lynch,Mann,Martin,McCarthy,Messina,Prag,Robinson,Witz,Gray,Breivogel,Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Autauga,AL,"12,122",5,7,3,2,1,"2,920",24.09%,,3.48%,0.47%,14.75%,20.48%,44.57%,16.24%,422,57,"1,788","2,483","5,403","1,766",8,8,25,122,,,32,,5,3,,,,4,9,9,14.57%,0.07%,0.07%,,Autauga,AL,2,,01,001,01001,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin,AL,"50,682",5,7,2,3,1,"13,995",27.61%,,5.93%,0.45%,19.26%,17.02%,46.87%,10.47%,"3,005",230,"9,761","8,624","23,756","4,251",27,49,118,701,,,105,,39,16,,,,4,10,9,8.39%,0.05%,0.10%,,Baldwin,AL,1,,01,003,01003,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbour,AL,"3,427",5,7,3,2,1,"1,110",32.39%,,3.59%,0.32%,14.62%,17.77%,50.16%,13.54%,123,11,501,609,"1,719",420,1,6,3,21,,,9,,0,4,,,,4,10,8,12.26%,0.03%,0.18%,,Barbour,AL,2,,01,005,01005,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bibb,AL,"3,973",5,7,3,2,1,954,24.01%,,2.11%,0.43%,11.18%,25.45%,49.46%,11.38%,84,17,444,"1,011","1,965",393,3,3,6,30,,,15,,1,1,,,,4,9,9,9.89%,0.08%,0.08%,,Bibb,AL,6,,01,007,01007,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blount,AL,"15,163",5,8,3,2,1,"3,693",24.36%,,2.22%,0.37%,12.15%,24.39%,48.75%,12.11%,337,56,"1,843","3,699","7,392","1,524",10,12,25,170,,,78,,13,4,,,,4,10,9,10.05%,0.07%,0.08%,,Blount,AL,,,01,009,01009,,County,P,,7390,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullock,AL,554,5,6,3,2,1,219,39.53%,,4.15%,1.26%,11.55%,16.97%,56.50%,9.57%,23,7,64,94,313,47,0,0,2,3,,,1,,0,0,,,,4,0,0,8.48%,0.00%,0.00%,,Bullock,AL,2,,01,011,01011,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,AL,"3,202",5,6,3,2,1,"1,188",37.10%,,2.69%,0.66%,13.37%,16.68%,53.78%,12.84%,86,21,428,534,"1,722",377,0,3,3,17,,,6,,4,1,,,,4,0,8,11.77%,0.00%,0.09%,,Butler,AL,2,,01,013,01013,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,AL,"20,580",5,7,3,2,1,"5,276",25.64%,,4.78%,0.64%,16.32%,19.43%,45.06%,13.77%,984,132,"3,359","3,998","9,274","2,434",19,20,49,214,,,75,,16,6,,,,4,10,9,11.83%,0.09%,0.10%,,Calhoun,AL,3,,01,015,01015,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chambers,AL,"4,569",5,7,4,2,1,"1,252",27.40%,,3.68%,0.79%,13.04%,20.11%,47.52%,14.86%,168,36,596,919,"2,171",597,4,7,12,44,,,12,,2,1,,,,3,10,9,13.07%,0.09%,0.15%,,Chambers,AL,3,,01,017,01017,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee,AL,"5,345",5,8,3,2,1,"1,864",34.87%,,2.83%,0.37%,15.19%,17.23%,52.10%,12.27%,151,20,812,921,"2,785",535,4,3,6,69,,,29,,7,3,,,,4,9,10,10.01%,0.07%,0.06%,,Cherokee,AL,,,01,019,01019,,County,P,,2777,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chilton,AL,"10,696",5,7,3,2,1,"2,957",27.65%,,2.04%,0.59%,13.44%,21.78%,49.43%,12.72%,218,63,"1,438","2,330","5,287","1,150",6,10,11,118,,,51,,9,5,,,,4,10,9,10.75%,0.06%,0.09%,,Chilton,AL,6,,01,021,01021,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choctaw,AL,"2,143",5,7,3,2,1,619,28.88%,,3.17%,0.93%,14.70%,21.05%,49.93%,10.22%,68,20,315,451,"1,070",169,2,2,6,27,,,11,,1,1,,,,4,9,9,7.89%,0.09%,0.09%,,Choctaw,AL,7,,01,023,01023,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke,AL,"4,610",5,8,3,2,1,"1,426",30.93%,,2.71%,0.33%,17.48%,19.28%,50.22%,9.98%,125,15,806,889,"2,315",411,0,8,2,19,,,18,,1,1,,,,4,0,8,8.92%,0.00%,0.17%,,Clarke,AL,,,01,025,01025,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,AL,"4,050",5,7,3,2,1,"1,077",26.59%,,3.09%,1.06%,12.49%,20.89%,47.48%,14.99%,125,43,506,846,"1,923",496,6,4,9,65,,,21,,3,3,,,,4,9,10,12.25%,0.15%,0.10%,,Clay,AL,3,,01,027,01027,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleburne,AL,"4,391",5,7,3,2,1,"1,193",27.17%,,2.41%,1.55%,13.62%,21.13%,48.30%,12.98%,106,68,598,928,"2,121",437,5,6,15,72,,,25,,7,3,,,,4,10,9,9.95%,0.11%,0.14%,,Cleburne,AL,3,,01,029,01029,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,AL,"10,433",5,7,3,2,1,"1,891",18.13%,,3.64%,0.66%,15.52%,23.27%,41.40%,15.51%,380,69,"1,619","2,428","4,319","1,373",11,13,30,138,,,40,,9,4,,,,4,10,9,13.16%,0.11%,0.12%,,Coffee,AL,2,,01,031,01031,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colbert,AL,"8,190",5,9,3,2,1,"2,279",27.83%,,3.05%,0.18%,17.68%,19.62%,47.45%,12.01%,250,15,"1,448","1,607","3,886",892,4,3,19,44,,,17,,3,2,,,,4,9,10,10.89%,0.05%,0.04%,,Colbert,AL,4,,01,033,01033,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conecuh,AL,"1,303",5,7,3,2,1,561,43.05%,,1.30%,0.61%,10.82%,15.96%,59.02%,12.28%,17,8,141,208,769,137,1,0,3,11,,,6,,1,1,,,,4,9,0,10.51%,0.08%,0.00%,,Conecuh,AL,2,,01,035,01035,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coosa,AL,"2,229",5,7,3,2,1,797,35.76%,,2.96%,0.45%,10.81%,19.56%,55.32%,10.90%,66,10,241,436,"1,233",201,3,3,2,22,,,6,,5,1,,,,4,8,8,9.02%,0.13%,0.13%,,Coosa,AL,6,,01,037,01037,,County,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
