year,state,candidate_party,name,popular_vote_ct,popular_vote_pct,electoral_vote,source
2012,Alabama,AL Republican,Willard Mitt Romney,1255925,60.55,9 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=1&f=1&off=0&elect=0&minper=0
2012,Alabama,AL Democratic,Barack H. Obama,795696,38.36,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=1&f=1&off=0&elect=0&minper=0
2012,Alabama,Independent,Gary Johnson,12328,0.59,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=1&f=1&off=0&elect=0&minper=0
2012,Alabama,-,Write-ins,4011,0.19,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=1&f=1&off=0&elect=0&minper=0
2012,Alabama,Independent,Jill Stein,3397,0.16,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=1&f=1&off=0&elect=0&minper=0
2012,Alabama,Independent,"Virgil H. Goode, Jr.",2981,0.14,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=1&f=1&off=0&elect=0&minper=0
2012,Alaska,Republican,Willard Mitt Romney,164676,54.80,3 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=2&f=1&off=0&elect=0&minper=0
2012,Alaska,Democratic,Barack H. Obama,122640,40.81,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=2&f=1&off=0&elect=0&minper=0
2012,Alaska,Libertarian,Gary Johnson,7392,2.46,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=2&f=1&off=0&elect=0&minper=0
2012,Alaska,Green,Jill Stein,2917,0.97,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=2&f=1&off=0&elect=0&minper=0
2012,Alaska,-,Write-ins,2870,0.96,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=2&f=1&off=0&elect=0&minper=0
2012,Arizona,Republican,Willard Mitt Romney,1233654,53.48,11 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arizona,Democratic,Barack H. Obama,1025232,44.45,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arizona,Libertarian,Gary Johnson,32100,1.39,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arizona,Green,Jill Stein,7816,0.34,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arizona,-,Write-ins,7312,0.32,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arizona,Write-in,"Virgil H. Goode, Jr.",289,0.01,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arizona,Write-in,Ross C. 'Rocky' Anderson,119,0.01,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arizona,Write-in,Jill Ann Reed,17,0.00,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arizona,Write-in,Will Christensen,14,0.00,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arizona,"",Sheila Tittle,6,0.00,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=4&f=1&off=0&elect=0&minper=0
2012,Arkansas,Republican,Willard Mitt Romney,647744,60.57,6 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=5&f=1&off=0&elect=0&minper=0
2012,Arkansas,Democratic,Barack H. Obama,394409,36.88,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=5&f=1&off=0&elect=0&minper=0
2012,Arkansas,Libertarian,Gary Johnson,16276,1.52,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=5&f=1&off=0&elect=0&minper=0
2012,Arkansas,Green,Jill Stein,9305,0.87,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=5&f=1&off=0&elect=0&minper=0
2012,Arkansas,Socialism and Liberation,Peta Lindsay,1734,0.16,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=5&f=1&off=0&elect=0&minper=0
2012,California,Democratic,Barack H. Obama,7854285,60.16,55 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Republican,Willard Mitt Romney,4839958,37.07,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Libertarian,Gary Johnson,143221,1.10,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Green,Jill Stein,85638,0.66,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Peace & Freedom,Roseanne Barr,53824,0.41,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,-,Write-ins,38783,0.30,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,American Ind.,Thomas Hoefling,38372,0.29,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Write-in,Ross C. 'Rocky' Anderson,992,0.01,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Write-in,"Virgil H. Goode, Jr.",503,0.00,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Write-in,Stewart Alexander,82,0.00,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Write-in,Jerry White,79,0.00,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Write-in,James Harris,72,0.00,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,California,Write-in,Sheila Tittle,6,0.00,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=6&f=1&off=0&elect=0&minper=0
2012,Colorado,Democratic,Barack H. Obama,1323102,51.45,9 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=8&f=1&off=0&elect=0&minper=0
2012,Colorado,Republican,Willard Mitt Romney,1185243,46.09,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=8&f=1&off=0&elect=0&minper=0
2012,Colorado,Libertarian,Gary Johnson,35545,1.38,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=8&f=1&off=0&elect=0&minper=0
2012,Colorado,Green,Jill Stein,7508,0.29,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=8&f=1&off=0&elect=0&minper=0
2012,Colorado,American Const.,"Virgil H. Goode, Jr.",6234,0.24,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=8&f=1&off=0&elect=0&minper=0
2012,Colorado,Peace & Freedom,Roseanne Barr,5059,0.20,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=8&f=1&off=0&elect=0&minper=0
2012,Colorado,Unaffiliated,Jill Ann Reed,2589,0.10,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=8&f=1&off=0&elect=0&minper=0
2012,Colorado,-,Write-ins,2324,0.09,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=8&f=1&off=0&elect=0&minper=0
2012,Colorado,Justice,Ross C. 'Rocky' Anderson,1260,0.05,0 ,http://uselectionatlas.org/RESULTS/state.php?year=2012&fips=8&f=1&off=0&elect=0&minper=0
